"date_time","temperature","humidity","pressure_hpa","soil_moisture"
"11/11/2025 16:53:58",27.99,71.78,1011.87,44.05
"11/11/2025 16:54:28",27.98,71.09,1011.91,43.4
"11/11/2025 16:54:58",27.98,71.04,1011.91,44.35
"11/11/2025 16:55:28",27.97,70.89,1011.91,44.25
"11/11/2025 16:55:58",27.96,71,1011.92,45.05
"11/11/2025 16:56:28",27.98,71.32,1011.92,45.05
"11/11/2025 16:56:58",27.98,70.83,1011.95,42.75
"11/11/2025 16:57:28",27.99,70.94,1011.93,42.95
"11/11/2025 16:58:31",27.98,70.95,1011.95,43.55
"11/11/2025 16:59:01",28.01,70.89,1011.98,43.65
"11/11/2025 16:59:31",28,70.85,1011.98,43.8
"11/11/2025 17:00:01",27.97,70.9,1011.97,42.35
"11/11/2025 17:00:31",27.97,70.85,1011.98,44.6
"11/11/2025 17:01:01",27.99,70.9,1012.01,43.55
"11/11/2025 17:02:01",27.97,70.92,1012.03,38.55
"11/11/2025 17:02:31",27.99,70.83,1012.07,43
"11/11/2025 17:03:01",27.99,71.15,1012.05,42.5
"11/11/2025 17:03:31",28.01,71.81,1012.08,43.7
"11/11/2025 17:04:01",28.04,71.18,1012.07,43.15
"11/11/2025 17:04:31",28.05,71.05,1012.1,42.8
"11/11/2025 17:05:01",28.06,71.29,1012.08,42.6
"11/11/2025 17:05:31",28.04,70.69,1012.07,43
"11/11/2025 17:06:01",28.05,70.72,1012.08,0
"11/11/2025 17:06:31",28.05,70.94,1012.1,73.25
"11/11/2025 17:07:01",28.06,70.76,1012.07,33.5
"11/11/2025 17:07:31",28.07,70.74,1012.08,30.8
"11/11/2025 17:08:01",28.07,70.68,1012.08,31.55
"11/11/2025 17:08:31",28.08,70.73,1012.08,30.2
"11/11/2025 17:09:01",28.08,70.71,1012.09,29.25
"11/11/2025 17:09:31",28.07,70.96,1012.09,24.3
"11/11/2025 17:10:01",28.05,70.65,1012.07,24.4
"11/11/2025 17:10:31",28.05,70.82,1012.04,29.4
"11/11/2025 17:11:01",28.07,70.87,1012.05,26.7
"11/11/2025 17:11:31",28.07,71.28,1012.06,13.2
"11/11/2025 17:12:01",28.08,70.96,1012.05,8.85
"11/11/2025 17:12:31",28.03,70.7,1012.02,4.4
"11/11/2025 17:13:01",28.03,70.78,1012.01,0
"11/11/2025 17:13:31",28.05,71.29,1012.04,0
"11/11/2025 17:14:01",28.02,70.84,1012.03,0
"11/11/2025 17:14:31",28.01,70.93,1012.01,0
"11/11/2025 17:15:01",28.01,70.9,1012.04,14.8
